userName,score,at,content
Pengguna Google,1,2025-12-20 15:07:50,"Selama ini ga masalah sama iklan yg byk untuk gratisan. Tapi udah 2 harian ini lagu yg disukai gabisa d putar ky biasanya. Nambahin lagu yg disukai byk, tapi masih tertulis total lagu yg lama. Gue uninstall dan install ulang tadi, tapi tetap gabisa diputar lagunya. Dahlah sepertinya gue mau beralih ke apk lain dulu 🙄"
Pengguna Google,5,2025-12-14 05:43:02,"Sebenarnya Spotify ini udah jadi platform musik mendunia. Kualitas audio musik dan kualitas streaming podcast-nya bisa HD. Tapi di Spotify ada beberapa masalah, dan 2 masalah yg akan saya sorot adalah LIRIK dan IKLAN. LIRIK untuk beberapa musik terkadang tidak tersedia, padahal daya tarik saya ke Spotify adalah untuk mengetahui LIRIK musiknya. IKLAN yg terlalu banyak, bisa sampai 4 iklan untuk memutar 2 lagu. Tolong untuk IKLAN dikurangi. ~Fadhlan"
Pengguna Google,4,2025-12-15 14:45:44,"bagus, aku sukaa, enak bisa sambil dengerin lagu, tapi akunku tidak bisa masuk, kenapa gitu, tolong perbaiki, awalnya mau tambahkan lagu ke playlistku, tapi tiba tiba lag terus lagunya gabisa diputar, terus pas instal ulang gabisa, katanya ada kesalahan, tolong dong"
Pengguna Google,1,2025-12-14 23:57:42,"iklan lebih sering, hampir setiap 1 lagu diputar, setelah nya akan ada iklan dan itu banyak sekali, bahkan bisa sampe 4 kali dalam 1 waktu, akses bebas pilih lagu juga yang free makin di perbatas, menjadi lebih dikit. sehingga membuat premium menjadi jalan terakhir, tetapi apa? harga premium di naikan secara brutal, dari 50k-an menjadi 80k, c'mon ini ga masuk akal spotify"
Pengguna Google,5,2025-12-05 10:57:02,"Spotify bagus bangett, bisa dengerin musik secara jelas, ada lirik nya juga, membantu bangett, tapi ada 1 kendala sih yg agak mengecewakan, yaitu gabisa diputar secara offline, karna harus make mode premium, padahal seru banget lo, bnyak artis terkenalnya juga, developer tolong ya dikurangi mod peremium nya, oh iya 1 lagi, yaitu kadang ya ditengah-tengah musik arus setelah selesai musik nya tuh iklannn, paling sebel kalo ada iklan, tapi gapapa deh tetep suka, Spotify the bestt"
Pengguna Google,1,2025-12-20 04:22:05,"aku bukan pengguna premium, tapi kenapa ya spotify yg lama sama skrng malah parah yg ini. setiap denger lagu 2-3 langsung iklan, jeda agak lama langsung iklan. KALO GITU SPOTIFY MUTARIN IKLAN AJA NGGAK USAH LAGU, pantesan pada pindah platform sebelah."
Pengguna Google,3,2025-12-08 21:10:58,"Tolong buatkan pembayaran di akun bank lainnya! ribet kalau harus top up dua kali lagian juga kena pajak, dan sekalian jangan cuma 1 bulan aja premium nya adain 3 bulan kek, dan sesekali promo harga lah mahal terus padahal sering langganan tapi ngak ada diskon akhir tahun atau sejenisnya"
Pengguna Google,5,2025-12-17 05:20:48,"aplikasi ini pokoknya baik,krn mudah digunakan benar ada, bantuan yg baik bisa ada yaitu santai bisa ada pd saatnya lg sendirian, atau mengisi waktu luang,baik jg bisa dtg sendiri suatu musik walaupun lg offline ponsel, memberitahukan klo lg fitur premium,tp buruk nya hanya untuk di online ponsel nya, kebaikan nya jg utk koleksi suatu musik bisa ada bisa jg suatu album."
Pengguna Google,4,2025-12-03 15:12:30,"Spotify the best bangett!! paling suka dengar lagu di spotify soalnya ada liriknya, tp ada bbrp lagu yg gaada liriknya, dan kebanyakan fitur yang berguna tuh harus premium dulu, okelah wajar soalnya prem, tapi kebanyakan woee, mana kalo muter 3 lagu udah iklan lagi, kan ga enak 😔 tpi selebihnya udah bagus kokk! ♡"
Pengguna Google,4,2025-11-30 15:00:14,"buat sekarang spotify udah bagus sih, lagu nya juga banyak, fitur juga ok, tapi yg jadi masalah itu iklan sering banget muncul baru 2 atau 1 lagu tiba tiba iklan, dulu sih 1 sekarang ada 3/4 iklan, dan itu bikin agak risih, lebih suka spotify yg dlu waktu iklan cuma 1"
